udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
430,100228190,122698,,,754,
430,100228191,122698,,,754,
430,100228201,122698,,,440,
430,100228202,122698,,,440,
430,100228203,122698,,,440,
430,100228204,122698,,,440,
430,100228205,122698,,,440,
430,100228206,122698,,,440,
430,100228207,122698,,,440,
430,100228208,122698,,,167,
430,100228209,122698,,,379,
430,100228210,122698,,,631,
430,100228211,122698,,,871,
430,100228212,122698,,,809,
430,100228213,122698,,,424,
430,100228214,122698,,,127,
430,100228215,122698,,,594,
430,100228216,122698,,,64,
430,100228217,122698,,,593,
430,100228218,122698,,,595,
430,100228219,122698,,,810,
430,100228220,122698,,,811,
430,100228221,122698,,,812,
430,100228222,122698,,,813,
430,100228223,122698,,,815,
430,100228224,122698,,,436,
430,100228225,122698,,,168,
430,100228226,122698,,,373,
430,100228227,122698,,,170,
430,100228228,122698,,,382,
430,100228229,122698,,,630,
430,100228230,122698,,,817,
430,100228231,122698,,,818,
430,100228232,122698,,,809,
430,100228233,122698,,,593,
430,100228234,122698,,,593,
430,100228235,122698,,,594,
430,100228236,122698,,,594,
430,100228237,122698,,,631,
430,100228238,122698,,,631,
430,100228239,122698,,,443,
430,100228240,122698,,,443,
430,100228241,122698,,,754,
430,100228242,122698,,,754,
430,100228243,122698,,,754,
430,100228244,122698,,,754,
430,100228245,122698,,,961,
430,100228246,122698,,,961,
430,100228259,122698,,,436,
430,100228260,122698,,,436,
430,100228261,122698,,,436,
430,100228262,122698,,,436,
430,100228263,122698,,,436,
430,100228264,122698,,,436,
430,100228265,122698,,,188,
430,100228266,122698,,,376,
430,100228267,122698,,,659,
430,100228268,122698,,,873,
430,100228269,122698,,,820,
430,100228270,122698,,,426,
430,100228271,122698,,,136,
430,100228272,122698,,,603,
430,100228273,122698,,,601,
430,100228274,122698,,,602,
430,100228275,122698,,,604,
430,100228276,122698,,,821,
430,100228277,122698,,,822,
430,100228278,122698,,,823,
430,100228279,122698,,,824,
430,100228280,122698,,,826,
430,100228281,122698,,,192,
430,100228282,122698,,,374,
430,100228283,122698,,,176,
430,100228284,122698,,,386,
430,100228285,122698,,,660,
430,100228286,122698,,,828,
430,100228287,122698,,,829,
430,100228288,122698,,,602,
430,100228289,122698,,,602,
430,100228290,122698,,,603,
430,100228291,122698,,,603,
430,100228292,122698,,,659,
430,100228293,122698,,,659,
430,100228294,122698,,,443,
430,100228295,122698,,,443,
430,100228296,122698,,,754,
430,100228297,122698,,,754,
430,100228298,122698,,,754,
430,100228299,122698,,,754,
430,100228300,122698,,,961,
430,100228301,122698,,,961,
430,100228303,122698,,,754,
430,100228309,122698,,,165,
430,100228310,122698,,,381,
430,100228311,122698,,,668,
430,100228312,122698,,,205,
430,100228313,122698,,,831,
430,100228314,122698,,,425,
430,100228315,122698,,,116,
430,100228316,122698,,,608,
430,100228317,122698,,,606,
430,100228318,122698,,,607,
430,100228319,122698,,,609,
430,100228320,122698,,,832,
430,100228321,122698,,,833,
430,100228322,122698,,,834,
430,100228323,122698,,,835,
430,100228324,122698,,,837,
430,100228325,122698,,,442,
430,100228326,122698,,,166,
430,100228327,122698,,,387,
430,100228328,122698,,,180,
430,100228329,122698,,,380,
430,100228330,122698,,,669,
430,100228331,122698,,,839,
430,100228332,122698,,,840,
430,100228333,122698,,,283,
430,100228334,122698,,,820,
430,100228335,122698,,,607,
430,100228336,122698,,,607,
430,100228337,122698,,,608,
430,100228338,122698,,,608,
430,100228339,122698,,,668,
430,100228340,122698,,,668,
430,100228341,122698,,,443,
430,100228342,122698,,,443,
430,100228343,122698,,,754,
430,100228344,122698,,,961,
430,100228345,122698,,,961,
430,100228346,122698,,,961,
430,100228353,122698,,,442,
430,100228354,122698,,,442,
430,100228357,122698,,,248,
430,100228358,122698,,,248,
430,100228359,122698,,,248,
430,100228360,122698,,,248,
430,100228361,122698,,,443,
430,100228362,122698,,,443,
430,100228363,122698,,,443,
430,100228364,122698,,,184,
430,100228365,122698,,,384,
430,100228366,122698,,,677,
430,100228367,122698,,,209,
430,100228368,122698,,,842,
430,100228369,122698,,,427,
430,100228370,122698,,,126,
430,100228371,122698,,,613,
430,100228372,122698,,,611,
430,100228373,122698,,,612,
430,100228374,122698,,,614,
430,100228375,122698,,,843,
430,100228376,122698,,,844,
430,100228377,122698,,,845,
430,100228378,122698,,,847,
430,100228379,122698,,,848,
430,100228380,122698,,,438,
430,100228381,122698,,,172,
430,100228382,122698,,,388,
430,100228383,122698,,,181,
430,100228384,122698,,,375,
430,100228385,122698,,,678,
430,100228386,122698,,,850,
430,100228387,122698,,,851,
430,100228388,122698,,,842,
430,100228389,122698,,,612,
430,100228390,122698,,,612,
430,100228391,122698,,,613,
430,100228392,122698,,,613,
430,100228393,122698,,,677,
430,100228394,122698,,,677,
430,100228395,122698,,,443,
430,100228396,122698,,,443,
430,100228397,122698,,,754,
430,100228398,122698,,,754,
430,100228407,122698,,,438,
430,100228408,122698,,,438,
430,100228411,122698,,,443,
430,100228412,122698,,,443,
430,100228413,122698,,,443,
430,100228414,122698,,,187,
430,100228415,122698,,,383,
430,100228416,122698,,,686,
430,100228417,122698,,,211,
430,100228418,122698,,,853,
430,100228419,122698,,,423,
430,100228420,122698,,,121,
430,100228421,122698,,,617,
430,100228422,122698,,,616,
430,100228423,122698,,,319,
430,100228424,122698,,,618,
430,100228425,122698,,,854,
430,100228426,122698,,,855,
430,100228427,122698,,,284,
430,100228428,122698,,,857,
430,100228429,122698,,,858,
430,100228430,122698,,,185,
430,100228431,122698,,,378,
430,100228432,122698,,,182,
430,100228433,122698,,,385,
430,100228434,122698,,,685,
430,100228435,122698,,,860,
430,100228436,122698,,,861,
430,100228437,122698,,,319,
430,100228438,122698,,,319,
430,100228439,122698,,,617,
430,100228440,122698,,,617,
430,100228441,122698,,,686,
430,100228442,122698,,,686,
430,100228443,122698,,,443,
430,100228444,122698,,,443,
430,100228445,122698,,,754,
430,100228446,122698,,,754,
430,100228450,122698,,,308,
430,100228451,122698,,,308,
430,100228452,122698,,,308,
430,100228453,122698,,,308,
430,100228454,122698,,,308,
430,100228455,122698,,,308,
430,100228456,122698,,,308,
430,100228457,122698,,,308,
430,100228458,122698,,,293,
430,100228459,122698,,,293,
430,100228460,122698,,,293,
430,100228461,122698,,,293,
430,100228462,122698,,,293,
430,100228463,122698,,,293,
430,100228464,122698,,,293,
430,100228465,122698,,,293,
430,100228474,122698,,,858,
430,100228475,122698,,,858,
430,100228476,122698,,,858,
430,100228477,122698,,,858,
430,100228478,122698,,,858,
430,100228479,122698,,,858,
430,100228480,122698,,,858,
430,100228481,122698,,,858,
430,100228482,122698,,,293,
430,100228483,122698,,,293,
430,100228484,122698,,,308,
430,100228485,122698,,,308,
430,100228486,122698,,,308,
430,100228487,122698,,,308,
430,100228490,122698,,,858,
430,100228491,122698,,,858,
430,100228492,122698,,,293,
430,100228497,122698,,,293,
430,100228498,122698,,,293,
430,100228503,122698,,,858,
430,100228504,122698,,,308,
430,100228505,122698,,,308,
430,100228506,122698,,,308,
430,100228507,122698,,,308,
430,100228508,122698,,,308,
430,100228509,122698,,,308,
430,100228510,122698,,,308,
430,100228511,122698,,,308,
430,100228512,122698,,,308,
430,100228513,122698,,,308,
430,100228514,122698,,,308,
430,100228515,122698,,,308,
430,100228516,122698,,,293,
430,100228517,122698,,,293,
430,100228518,122698,,,293,
430,100228519,122698,,,293,
430,100228520,122698,,,293,
430,100228521,122698,,,293,
430,100228522,122698,,,293,
430,100228523,122698,,,293,
430,100228524,122698,,,293,
430,100228525,122698,,,293,
430,100228526,122698,,,293,
430,100228534,122698,,,293,
430,100228537,122698,,,293,
430,100228538,122698,,,293,
430,100228539,122698,,,293,
430,100228540,122698,,,293,
430,100228541,122698,,,293,
430,100228542,122698,,,308,
430,100228543,122698,,,308,
430,100228544,122698,,,308,
430,100228545,122698,,,293,
430,100228546,122698,,,293,
430,100228547,122698,,,293,
430,100228548,122698,,,293,
430,100228553,122698,,,858,
430,100228560,122698,,,754,
430,100228561,122698,,,443,
430,100228564,122698,,,308,
430,100228565,122698,,,293,
430,100228566,122698,,,308,
430,100228567,122698,,,308,
430,100228568,122698,,,308,
430,100228569,122698,,,308,
430,100228570,122698,,,308,
430,100228571,122698,,,308,
430,100228572,122698,,,308,
430,100228573,122698,,,308,
430,100228578,122698,,,858,
430,100228579,122698,,,858,
430,100228580,122698,,,858,
430,100228581,122698,,,308,
430,100228582,122698,,,308,
